instance,n,m,sum_t,E_ub,DP_E,DP_gap,DP_c,DP_ms,DP_std,GR_E,GR_gap,GR_c,GR_ms,GR_std,GA_E_mean,GA_E_std,GA_E_best,GA_ms,ACO_E_mean,ACO_E_std,ACO_E_best,ACO_ms
ARC111,111,10,150399,1.0,0.9386,6.14,16024,0.701,0.0,0.5267,47.33,28555,0.086,0.0,0.9684,0.0136,0.9846,518.237,0.946,0.0019,0.9486,318.241
ARC111,111,16,150399,1.0,0.8629,13.71,10894,0.228,0.0,0.4256,57.44,22086,0.103,0.0,0.9526,0.0137,0.9665,514.843,0.9371,0.0083,0.9519,311.026
ARC111,111,22,150399,0.9999,0.8334,16.65,8203,0.301,0.0,0.1985,80.15,34435,0.082,0.0,0.9147,0.0161,0.9442,512.376,0.8902,0.0043,0.8938,311.797
ARC83,83,6,75707,1.0,0.9474,5.26,13319,0.183,0.0,0.8728,12.71,14456,0.084,0.0,0.9911,0.0025,0.9958,330.515,0.9859,0.0038,0.9957,171.07
ARC83,83,10,75707,1.0,0.9529,4.71,7945,0.185,0.0,0.5668,43.31,13356,0.059,0.0,0.983,0.0038,0.9909,337.728,0.9859,0.0032,0.992,175.616
ARC83,83,14,75707,0.9999,0.9032,9.67,5987,0.177,0.0,0.4049,59.51,13356,0.059,0.0,0.964,0.0041,0.9744,341.185,0.9615,0.0035,0.9665,177.565
BARTHOL2,148,10,4234,0.9986,0.9451,5.36,448,0.227,0.0,0.7755,22.34,546,0.104,0.0,0.9867,0.0028,0.9916,552.364,0.986,0.0015,0.9893,352.326
BARTHOL2,148,16,4234,0.9986,0.9417,5.69,281,0.219,0.0,0.5168,48.24,512,0.102,0.0,0.9743,0.0046,0.9801,554.985,0.9747,0.0024,0.9765,356.403
BARTHOL2,148,22,4234,0.9972,0.8788,11.87,219,0.234,0.0,0.2975,70.17,647,0.125,0.0,0.9481,0.0069,0.9575,544.55,0.9453,0.006,0.9575,350.163
BARTHOLD,148,10,5634,0.9989,0.9,9.9,626,0.348,0.0,0.7624,23.68,739,0.11,0.0,0.9876,0.0034,0.9937,580.122,0.9843,0.0014,0.9867,369.6
BARTHOLD,148,16,5634,0.9194,0.8937,2.79,394,0.233,0.0,0.3722,59.51,946,0.104,0.0,0.9194,0.0,0.9194,591.576,0.9194,0.0,0.9194,365.565
BARTHOLD,148,22,5634,0.6686,0.6686,0.0,383,0.247,0.0,0.2877,56.97,890,0.101,0.0,0.6686,0.0,0.6686,593.149,0.6686,0.0,0.6686,362.663
BOWMAN8,8,3,75,1.0,0.8929,10.71,28,0.035,0.0,0.5319,46.81,47,0.012,0.0,0.8929,0.0,0.8929,40.029,0.8929,0.0,0.8929,13.201
BOWMAN8,8,4,75,0.9868,0.75,24.0,25,0.028,0.0,0.5682,42.42,33,0.009,0.0,0.8523,0.0,0.8523,40.62,0.8523,0.0,0.8523,13.396
BUXEY,29,4,324,1.0,0.8804,11.96,92,0.057,0.0,0.802,19.8,101,0.031,0.0,0.9878,0.0,0.9878,97.57,0.9759,0.0,0.9759,46.172
BUXEY,29,6,324,1.0,0.8571,14.29,63,0.054,0.0,0.587,41.3,92,0.023,0.0,0.9495,0.0206,0.9818,101.89,0.9491,0.009,0.9643,47.43
BUXEY,29,8,324,0.9878,0.8438,14.58,48,0.053,0.0,0.4402,55.43,92,0.029,0.0,0.9715,0.0148,0.9878,101.191,0.929,0.0105,0.9419,47.402
GUNTHER,35,4,483,0.9979,0.8944,10.37,135,0.066,0.0,0.7997,19.87,151,0.029,0.0,0.9971,0.0025,0.9979,113.501,0.9739,0.0079,0.9898,55.291
GUNTHER,35,6,483,0.9938,0.8299,16.49,97,0.064,0.0,0.8299,16.49,97,0.028,0.0,0.9583,0.0,0.9583,120.6,0.9296,0.0053,0.936,55.485
GUNTHER,35,8,483,0.9898,0.8271,16.44,73,0.081,0.0,0.5919,40.2,102,0.028,0.0,0.9248,0.0129,0.9434,115.052,0.8986,0.0116,0.9148,55.239
HAHN,53,6,14026,0.9999,0.8604,13.95,2717,0.131,0.0,0.4883,51.16,4787,0.044,0.0,0.97,0.0028,0.974,214.145,0.9537,0.0107,0.9676,103.463
HAHN,53,10,14026,0.7902,0.7677,2.85,1827,0.115,0.0,0.4657,41.07,3012,0.042,0.0,0.7894,0.0022,0.7902,218.485,0.7697,0.0046,0.7827,105.044
HAHN,53,14,14026,0.5644,0.5644,0.0,1775,0.112,0.0,0.4979,11.78,2012,0.042,0.0,0.5644,0.0,0.5644,218.866,0.5644,0.0,0.5644,106.08
HESKIA,28,4,1024,1.0,0.9014,9.86,284,0.063,0.0,0.5664,43.36,452,0.025,0.0,0.993,0.0029,0.9961,110.214,0.988,0.0032,0.9961,64.213
HESKIA,28,6,1024,0.9981,0.8982,10.0,190,0.059,0.0,0.5689,43.0,300,0.024,0.0,0.9667,0.016,0.9865,109.392,0.9604,0.0048,0.9642,66.014
HESKIA,28,8,1024,1.0,0.8,20.0,160,0.06,0.0,0.3689,63.11,347,0.024,0.0,0.972,0.0067,0.9846,109.972,0.9258,0.0155,0.9552,64.416
JACKSON,11,3,46,0.9583,0.807,15.79,19,0.032,0.0,0.7667,20.0,20,0.012,0.0,0.9583,0.0,0.9583,47.2,0.9583,0.0,0.9583,16.997
JACKSON,11,4,46,0.9583,0.8846,7.69,13,0.044,0.0,0.8214,14.29,14,0.015,0.0,0.9583,0.0,0.9583,49.02,0.9583,0.0,0.9583,17.678
JAESCHKE,9,3,37,0.9487,0.881,7.14,14,0.031,0.0,0.7708,18.75,16,0.011,0.0,0.9487,0.0,0.9487,41.72,0.9487,0.0,0.9487,14.033
JAESCHKE,9,4,37,0.925,0.925,0.0,10,0.028,0.0,0.925,0.0,10,0.01,0.0,0.925,0.0,0.925,41.976,0.925,0.0,0.925,14.319
KILBRID,45,6,552,1.0,0.92,8.0,100,0.093,0.0,0.6053,39.47,152,0.036,0.0,0.9882,0.0032,0.9892,146.489,0.984,0.0053,0.9892,81.167
KILBRID,45,10,552,0.9857,0.8239,16.42,67,0.079,0.0,0.5359,45.63,103,0.037,0.0,0.9601,0.0111,0.9684,151.555,0.9567,0.0077,0.9684,84.915
KILBRID,45,14,552,0.7169,0.7169,0.0,55,0.086,0.0,0.2682,62.59,147,0.037,0.0,0.7169,0.0,0.7169,156.814,0.7169,0.0,0.7169,83.81
LUTZ1,32,4,14140,1.0,0.9722,2.78,3636,0.079,0.0,0.853,14.7,4144,0.026,0.0,0.9826,0.0024,0.9869,134.485,0.9722,0.0,0.9722,63.169
LUTZ1,32,6,14140,0.9999,0.888,11.19,2654,0.087,0.0,0.5242,47.58,4496,0.026,0.0,0.9694,0.0124,0.9836,141.149,0.9778,0.0047,0.9803,63.608
LUTZ1,32,8,14140,0.9997,0.8891,11.07,1988,0.075,0.0,0.491,50.89,3600,0.048,0.0,0.9482,0.0063,0.9503,139.779,0.9503,0.0,0.9503,62.973
LUTZ2,89,6,485,0.9979,0.9739,2.41,83,0.13,0.0,0.8599,13.83,94,0.063,0.0,0.9931,0.006,0.9979,246.719,0.9979,0.0,0.9979,130.424
LUTZ2,89,10,485,0.9898,0.9327,5.77,52,0.143,0.0,0.7578,23.44,64,0.066,0.0,0.9681,0.0057,0.97,254.077,0.9624,0.0093,0.97,135.819
LUTZ2,89,14,485,0.9898,0.9117,7.89,38,0.149,0.0,0.5413,45.31,64,0.064,0.0,0.9493,0.013,0.9623,259.561,0.9493,0.013,0.9623,137.56
LUTZ3,89,6,1644,1.0,0.958,4.2,286,0.137,0.0,0.7385,26.15,371,0.088,0.0,0.9938,0.0023,0.9964,278.772,0.9786,0.0038,0.9856,144.53
LUTZ3,89,10,1644,0.9964,0.9503,4.62,173,0.128,0.0,0.5058,49.23,325,0.06,0.0,0.9605,0.0142,0.9786,270.298,0.9637,0.0028,0.9671,142.8
LUTZ3,89,14,1644,0.9952,0.9174,7.81,128,0.132,0.0,0.3464,65.19,339,0.061,0.0,0.9617,0.0023,0.9625,268.985,0.9486,0.0083,0.9625,144.141
MANSOOR,11,3,185,0.9946,0.8222,17.33,75,0.038,0.0,0.7171,27.91,86,0.013,0.0,0.9946,0.0,0.9946,48.99,0.9496,0.0286,0.9788,18.009
MANSOOR,11,4,185,0.984,0.8894,9.62,52,0.032,0.0,0.8259,16.07,56,0.026,0.0,0.9635,0.0,0.9635,50.906,0.9635,0.0,0.9635,18.489
MERTENS,7,3,29,0.9667,0.8788,9.09,11,0.034,0.0,0.8788,9.09,11,0.009,0.0,0.9667,0.0,0.9667,36.846,0.9667,0.0,0.9667,11.971
MERTENS,7,4,29,0.9062,0.725,20.0,10,0.024,0.0,0.6591,27.27,11,0.009,0.0,0.8056,0.0,0.8056,37.583,0.8056,0.0,0.8056,12.153
MITCHELL,21,4,105,0.9722,0.875,10.0,30,0.045,0.0,0.6908,28.95,38,0.019,0.0,0.9722,0.0,0.9722,72.478,0.9722,0.0,0.9722,31.503
MITCHELL,21,6,105,0.9722,0.875,10.0,20,0.042,0.0,0.5833,40.0,30,0.018,0.0,0.9722,0.0,0.9722,73.477,0.9722,0.0,0.9722,31.999
MITCHELL,21,8,105,0.9375,0.8203,12.5,16,0.042,0.0,0.4375,53.33,30,0.018,0.0,0.875,0.0,0.875,74.551,0.875,0.0,0.875,32.406
MUKHERJE,94,10,4208,0.9995,0.933,6.65,451,0.168,0.0,0.6081,39.16,692,0.074,0.0,0.9869,0.0054,0.9925,384.128,0.973,0.0049,0.9832,247.099
MUKHERJE,94,16,4208,1.0,0.8855,11.45,297,0.164,0.0,0.4155,58.45,633,0.075,0.0,0.9506,0.0116,0.9669,380.565,0.9464,0.0028,0.9529,248.076
MUKHERJE,94,22,4208,0.9962,0.8463,15.04,226,0.188,0.0,0.2533,74.57,755,0.078,0.0,0.9196,0.0,0.9196,377.509,0.9152,0.0044,0.9196,246.242
ROSZIEG,25,4,125,0.9766,0.9191,5.88,34,0.051,0.0,0.8446,13.51,37,0.022,0.0,0.9766,0.0,0.9766,83.602,0.9766,0.0,0.9766,38.805
ROSZIEG,25,6,125,0.9921,0.8681,12.5,24,0.05,0.0,0.6944,30.0,30,0.021,0.0,0.9876,0.0135,0.9921,86.626,0.9921,0.0,0.9921,40.026
ROSZIEG,25,8,125,0.9766,0.8681,11.11,18,0.051,0.0,0.5787,40.74,27,0.021,0.0,0.9191,0.0,0.9191,86.423,0.9651,0.023,0.9766,39.47
SAWYER30,30,4,324,1.0,0.9529,4.71,85,0.082,0.0,0.8351,16.49,97,0.028,0.0,0.9902,0.0049,1.0,101.45,0.989,0.0037,1.0,49.125
SAWYER30,30,6,324,1.0,0.931,6.9,58,0.054,0.0,0.6667,33.33,81,0.024,0.0,0.9643,0.0,0.9643,101.822,0.9524,0.0078,0.9643,49.432
SAWYER30,30,8,324,0.9878,0.8265,16.33,49,0.079,0.0,0.5473,44.59,74,0.026,0.0,0.951,0.018,0.9878,103.495,0.9247,0.0086,0.9419,50.074
SCHOLL,297,10,69655,0.9999,0.9672,3.28,7202,0.577,0.0,0.7961,20.38,8749,0.228,0.0,0.9939,0.0016,0.9971,1302.659,0.9918,0.0012,0.9945,802.589
SCHOLL,297,16,69655,0.9999,0.9393,6.06,4635,0.566,0.0,0.6063,39.36,7180,0.223,0.0,0.9838,0.0021,0.9878,1342.6,0.9794,0.0012,0.9816,820.667
SCHOLL,297,22,69655,0.9997,0.9632,3.65,3287,0.634,0.0,0.4934,50.65,6417,0.228,0.0,0.9763,0.0033,0.9833,1337.004,0.9715,0.0024,0.9748,803.848
TONGE70,70,6,3510,1.0,0.9669,3.31,605,0.121,0.0,0.7396,26.04,791,0.052,0.0,0.9902,0.0026,0.9932,250.694,0.9905,0.0008,0.9915,137.536
TONGE70,70,10,3510,1.0,0.9435,5.65,372,0.115,0.0,0.4868,51.32,721,0.051,0.0,0.9766,0.0025,0.9804,250.763,0.9683,0.0032,0.9777,137.793
TONGE70,70,14,3510,0.9989,0.8859,11.31,283,0.119,0.0,0.3126,68.7,802,0.051,0.0,0.9395,0.0128,0.9755,246.57,0.9282,0.0032,0.932,134.935
WARNECKE,58,6,1548,1.0,0.9485,5.15,272,0.108,0.0,0.7866,21.34,328,0.041,0.0,0.9919,0.0011,0.9923,191.276,0.9799,0.0044,0.9847,100.58
WARNECKE,58,10,1548,0.9987,0.8846,11.43,175,0.102,0.0,0.5432,45.61,285,0.042,0.0,0.9497,0.0,0.9497,188.076,0.9503,0.0018,0.9556,100.89
WARNECKE,58,14,1548,0.9961,0.9063,9.02,122,0.095,0.0,0.3029,69.59,365,0.042,0.0,0.9373,0.0163,0.9615,194.556,0.923,0.0031,0.9292,102.489
WEE-MAG,75,6,1499,0.9993,0.9759,2.34,256,0.118,0.0,0.8356,16.39,299,0.052,0.0,0.9934,0.002,0.9954,244.964,0.9914,0.0025,0.9954,148.433
WEE-MAG,75,10,1499,0.9993,0.9311,6.83,161,0.113,0.0,0.6406,35.9,234,0.058,0.0,0.9759,0.0058,0.9862,254.334,0.9646,0.005,0.9734,148.575
WEE-MAG,75,14,1499,0.9914,0.9151,7.69,117,0.11,0.0,0.4199,57.65,255,0.051,0.0,0.9501,0.0076,0.9646,259.366,0.945,0.0038,0.9475,150.681
